delta_tm,nomelt_score
2.1,0.7807564890528838
-0.4,-3.045412105963819
5.2,1.415734741757757
3.1,0.7196423520282167
1.1,-0.349120640999391
0.5,-0.4455361032223957
3.89,-1.0853626454081255
12.17,3.7004051279294625
5.6,3.5286574325690623
0.4,6.830939231380696
2.4,3.8972726653365557
2.2,-4.937681153139577
-0.79,-12.795302380633943
-0.9,-13.64689064963462
-1.7,-14.957674999910987
0.2,-12.448083917498908
2.9,-12.544962936240708
-1.0,-13.924222007658807
-0.7,-13.9069623850036
1.1,-15.092090621138631
0.3,-13.181796116114974
-2.8,-14.929675960253665
10.13,-4.3299028229149386
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
1.0,1.018976005995403
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.089896277811171
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,3.2687244872605854
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-10.546399093795696
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,-9.311317396701172
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
0.0,0.3622690072611032
