delta_tm,nomelt_score
2.1,-18.96699142553296
-0.4,-17.977211017100352
5.2,-21.040092494189516
3.1,-22.23918532569975
1.1,-19.892251983935214
0.5,-21.734357827538975
3.89,-17.58646962158669
12.17,-19.64732936140388
5.6,-20.889572156217287
0.4,-24.033861116675425
2.4,-18.0855216969447
2.2,-22.30074497609523
-0.79,-21.029714619712294
-0.9,-21.01518436904205
-1.7,-22.07646939573485
0.2,-19.578186045574373
2.9,-19.81437492501809
-1.0,-20.950819035753977
-0.7,-21.104869800320955
1.1,-20.148712164532178
0.3,-20.59056858401533
-2.8,-20.725143459681586
10.13,-20.149148952159035
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
1.0,-19.756240877044817
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-20.728403050468266
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-18.453979474608015
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.83909610337018
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-21.819213895693903
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
0.0,-18.116798389194077
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-18.52584461271586
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
-0.5,-25.443336456808623
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.5,-18.676185650544557
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
0.0,-20.691778210953817
